mx1,lumi,mode,N_exc_med,N_exc_m1s,N_exc_p1s,lam1_crit_med,lam2_crit_med,lam2_crit_m1s,lam2_crit_p1s
1.0000,300,none,135.4520,97.4057,188.9040,0.0242,0.0475,0.0409,0.0559
1.5000,300,none,46.5429,33.4698,65.4662,0.0402,0.0812,0.0686,0.0964
2.0000,300,none,26.1863,18.6105,37.1462,0.0650,0.1307,0.1095,0.1564
2.5000,300,none,15.5071,10.9460,22.3065,0.1002,0.1961,0.1647,0.2368
1.0000,300,stats,173.5050,125.1840,241.2820,0.0274,0.0536,0.0458,0.0638
1.5000,300,stats,53.9628,38.8055,75.4726,0.0433,0.0875,0.0740,0.1035
2.0000,300,stats,29.8545,21.3978,41.8736,0.0697,0.1398,0.1177,0.1662
2.5000,300,stats,17.1893,12.2383,24.4521,0.1064,0.2066,0.1742,0.2488
1.0000,300,sys1,176.6770,126.6300,249.2130,0.0277,0.0541,0.0460,0.0650
1.5000,300,sys1,54.8622,39.1911,77.8239,0.0437,0.0882,0.0744,0.1051
2.0000,300,sys1,30.3639,21.5062,43.3143,0.0704,0.1410,0.1180,0.1690
2.5000,300,sys1,17.4521,12.3189,25.1738,0.1074,0.2082,0.1747,0.2528
1.0000,300,sys2,512.8150,361.9810,735.6220,0.0479,0.0957,0.0802,0.1142
1.5000,300,sys2,78.6958,55.5491,113.2010,0.0526,0.1057,0.0888,0.1271
2.0000,300,sys2,35.1529,24.8134,50.7063,0.0762,0.1520,0.1271,0.1831
2.5000,300,sys2,18.6086,13.0455,26.9903,0.1116,0.2152,0.1798,0.2626
1.0000,300,sys3,648.7200,457.9130,935.7470,0.0539,0.1073,0.0905,0.1291
1.5000,300,sys3,91.2871,64.4370,132.0410,0.0568,0.1139,0.0956,0.1376
2.0000,300,sys3,38.0058,26.6857,55.1245,0.0795,0.1582,0.1320,0.1911
2.5000,300,sys3,19.2919,13.4516,28.1352,0.1140,0.2193,0.1826,0.2687
1.0000,3000,none,425.8360,307.2390,592.1810,0.0135,0.0271,0.0230,0.0320
1.5000,3000,none,144.4630,104.4060,201.4710,0.0223,0.0450,0.0384,0.0531
2.0000,3000,none,79.9855,57.5189,111.8680,0.0346,0.0707,0.0598,0.0842
2.5000,3000,none,46.2585,33.1552,64.8818,0.0519,0.1053,0.0893,0.1253
1.0000,3000,stats,1164.2500,842.7760,1614.4100,0.0224,0.0443,0.0382,0.0517
1.5000,3000,stats,308.0380,222.9810,424.6840,0.0327,0.0658,0.0558,0.0775
2.0000,3000,stats,163.5370,118.7700,224.8130,0.0508,0.1024,0.0868,0.1208
2.5000,3000,stats,86.9976,63.4880,118.9010,0.0729,0.1463,0.1239,0.1717
1.0000,3000,sys1,1186.9000,853.5220,1664.7400,0.0226,0.0447,0.0384,0.0525
1.5000,3000,sys1,313.6590,225.5570,439.9350,0.0329,0.0664,0.0562,0.0789
2.0000,3000,sys1,166.5940,120.1970,232.3350,0.0513,0.1034,0.0874,0.1228
2.5000,3000,sys1,88.3118,63.9269,123.1610,0.0735,0.1474,0.1243,0.1747
1.0000,3000,sys2,4928.8200,3491.0000,7070.2900,0.0469,0.0939,0.0786,0.1120
1.5000,3000,sys2,631.8150,447.5030,901.2880,0.0470,0.0947,0.0796,0.1132
2.0000,3000,sys2,235.3710,168.1390,333.8820,0.0615,0.1237,0.1039,0.1481
2.5000,3000,sys2,104.3450,75.0359,147.1850,0.0803,0.1607,0.1353,0.1910
1.0000,3000,sys3,6342.2300,4476.8000,9148.3600,0.0533,0.1061,0.0895,0.1276
1.5000,3000,sys3,777.9640,549.1430,1119.0700,0.0523,0.1051,0.0883,0.1264
2.0000,3000,sys3,272.0530,193.3460,390.2540,0.0664,0.1333,0.1117,0.1603
2.5000,3000,sys3,114.0690,81.4861,161.8110,0.0843,0.1681,0.1413,0.2003
